destination_id,destination_name,state,latitude,longitude,avg_cost,cost_category,best_season,avg_temp,precipitation,climate_type,popularity_score,safety_index,ratings_avg,total_reviews,adventure,beach,nature,nightlife,food,culture,sightseeing,trip_duration_days,family_friendly,solo_friendly,couple_friendly,recommended_for
24,Alleppey,Kerala,12.5871,82.8377,78066,Luxury,All-year,7,136,Cold,69,33,4.1,25227,0,0,0,0,1,0,1,8,1,1,0,Family
25,Kolkata,West Bengal,20.5117,88.1451,32380,Luxury,Winter,23,160,Cold,79,60,4.4,43918,0,0,0,1,0,1,1,11,1,0,0,Spiritual
26,Andaman,Andaman and Nicobar Islands,8.3257,75.0413,68518,Luxury,Winter,29,120,Dry,83,81,4.5,33874,0,1,0,0,0,0,1,9,1,0,1,Luxury
27,Hampi,Karnataka,22.9221,81.709,46430,Luxury,Winter,26,11,Dry,50,60,4.7,14416,1,0,0,0,1,1,0,9,1,0,0,Culture
28,Lonavala,Maharashtra,25.402,87.1408,59052,Luxury,Winter,5,73,Temperate,47,56,4.9,32824,0,0,1,0,1,0,0,6,0,0,0,Couple
29,Kutch,Gujarat,11.6272,92.5651,19268,Mid-range,Summer,8,198,Tropical,68,29,4.4,20107,0,0,0,0,0,0,1,7,1,0,1,Adventure
30,Darjeeling,West Bengal,24.4587,91.8587,34787,Luxury,Monsoon,26,395,Dry,20,77,3.7,49360,0,0,1,0,0,0,0,12,1,1,0,Budget
31,Shimla,Himachal Pradesh,9.4505,94.9395,34419,Luxury,Monsoon,29,377,Dry,65,29,4.5,31893,0,0,0,0,0,0,1,7,1,0,0,Couple
32,Kolkata,West Bengal,29.8177,79.7692,28464,Luxury,All-year,33,66,Cold,31,61,4.1,27415,0,0,0,1,0,1,0,4,0,0,0,Spiritual
33,Hyderabad,Telangana,8.0668,94.961,4698,Budget,All-year,26,356,Dry,76,81,4.2,31256,0,0,0,1,0,0,1,5,1,0,0,Beach
34,Haridwar,Uttarakhand,22.0828,88.4781,24959,Mid-range,Winter,9,398,Dry,87,79,4.7,38805,0,0,0,0,0,0,1,5,1,1,0,Spiritual
35,Varanasi,Uttar Pradesh,17.6858,85.7096,11653,Budget,All-year,13,394,Dry,32,36,4.3,13359,0,0,0,0,0,1,0,5,1,0,0,Luxury
36,Gangtok,Sikkim,9.5376,76.5569,39994,Luxury,Monsoon,14,258,Tropical,82,100,5.0,48473,0,0,0,0,0,0,1,12,1,0,1,Wildlife
37,Hampi,Karnataka,13.9421,79.5786,18425,Mid-range,Monsoon,6,195,Dry,57,61,3.9,15712,1,0,0,0,1,1,0,8,1,0,1,Luxury
38,Ladakh,Ladakh,16.6715,89.8639,61083,Luxury,Monsoon,21,288,Tropical,34,51,5.0,1139,1,0,0,0,1,0,0,12,0,0,0,Luxury
39,Bodh Gaya,Bihar,27.2587,68.2881,61878,Luxury,Winter,27,53,Cold,87,36,4.8,40713,0,0,0,0,1,1,1,9,0,1,1,Wildlife
40,Bodh Gaya,Bihar,18.9214,85.6004,61175,Luxury,All-year,6,178,Temperate,75,94,5.0,31380,0,0,0,0,1,1,1,5,1,1,0,Spiritual
41,Manali,Himachal Pradesh,29.6836,85.543,47337,Luxury,Winter,34,10,Temperate,48,96,4.7,10823,1,0,1,0,0,0,0,8,1,1,1,Luxury
42,Rishikesh,Uttarakhand,24.6342,73.5106,60619,Luxury,Summer,16,247,Dry,26,32,4.4,49829,1,0,0,0,0,0,0,5,1,1,0,Nature
43,Kodaikanal,Tamil Nadu,9.6686,87.6106,75355,Luxury,Winter,35,62,Temperate,100,62,4.9,14021,0,0,1,0,1,0,1,4,1,1,1,Family
44,Haridwar,Uttarakhand,28.5239,92.1668,51560,Luxury,Monsoon,5,268,Dry,60,25,4.3,28636,0,0,0,0,0,0,0,7,1,1,0,Culture
45,Kutch,Gujarat,20.5605,74.8594,48439,Luxury,All-year,32,155,Temperate,38,89,4.1,47474,0,0,0,0,1,0,0,5,1,1,1,Spiritual
46,Manali,Himachal Pradesh,10.0302,76.5698,43863,Luxury,Summer,9,123,Cold,36,36,4.4,1149,1,0,1,0,0,0,0,5,0,1,1,Spiritual
47,Mumbai,Maharashtra,16.4869,70.2425,11330,Budget,All-year,6,200,Tropical,87,66,3.8,16811,0,0,0,1,0,0,1,9,1,1,1,Budget
48,Mahabaleshwar,Maharashtra,18.0295,87.6438,4559,Budget,Winter,7,64,Dry,63,69,4.7,23566,0,0,1,0,0,0,1,12,1,1,1,Wildlife
49,Vizag,Andhra Pradesh,10.7659,78.3702,78762,Luxury,Summer,12,367,Cold,68,52,3.8,47951,0,1,0,0,0,0,1,3,1,1,1,Adventure
50,Guwahati,Assam,33.4644,81.1618,26917,Luxury,All-year,32,278,Tropical,39,49,4.6,30466,0,0,0,0,1,0,0,6,0,0,1,Culture
51,Hyderabad,Telangana,27.1694,72.0024,78176,Luxury,Winter,12,79,Tropical,37,37,4.3,45553,0,0,0,1,0,0,0,8,1,0,0,Budget
52,Munnar,Kerala,13.6536,88.0214,7640,Budget,Monsoon,26,381,Cold,20,32,4.4,24061,0,0,1,0,0,0,0,12,1,0,0,Beach
53,Ladakh,Ladakh,33.377,70.9139,50279,Luxury,Winter,22,383,Dry,70,94,3.9,33709,1,0,0,0,0,0,1,6,1,0,1,Wildlife
54,Hyderabad,Telangana,11.6347,79.2741,70261,Luxury,Summer,30,337,Cold,52,84,5.0,7192,0,0,0,1,1,0,0,12,1,1,0,Budget
55,Hampi,Karnataka,32.5628,84.8195,74128,Luxury,All-year,10,132,Temperate,36,89,4.5,13420,1,0,0,0,0,1,0,6,0,1,1,Adventure
56,Haridwar,Uttarakhand,21.9171,75.4977,10572,Budget,Winter,7,221,Tropical,57,68,4.3,28083,0,0,0,0,0,0,0,2,1,0,1,Budget
57,Kutch,Gujarat,23.2572,91.8423,52809,Luxury,Summer,29,132,Tropical,73,55,3.7,47038,0,0,0,0,1,0,1,7,1,1,0,Wildlife
58,Amritsar,Punjab,26.6903,94.0327,21946,Mid-range,All-year,7,84,Dry,75,41,3.9,29834,0,0,0,0,0,1,1,6,1,0,0,Luxury
59,Ladakh,Ladakh,28.5351,85.213,14291,Mid-range,All-year,8,367,Dry,60,53,4.1,43488,1,0,0,0,0,0,0,9,1,0,1,Couple
60,Kutch,Gujarat,30.2701,79.9007,22813,Mid-range,Monsoon,16,19,Dry,87,70,4.6,15162,0,0,0,0,0,0,1,11,1,0,1,Culture
61,Pondicherry,Puducherry,21.1046,80.5158,68444,Luxury,Summer,20,245,Dry,42,55,4.4,112,0,1,0,0,0,0,0,5,1,0,1,Family
62,Jaipur,Rajasthan,13.9988,95.7756,28844,Luxury,Summer,12,47,Tropical,88,23,3.9,20791,0,0,0,0,0,1,1,7,1,1,1,Couple
63,Delhi,Delhi,11.0967,82.8634,53401,Luxury,Winter,15,190,Temperate,91,66,4.2,31295,0,0,0,1,0,1,1,10,1,0,1,Nature
64,Delhi,Delhi,12.8494,87.2417,55402,Luxury,Monsoon,5,255,Tropical,79,59,3.6,6598,0,0,0,1,0,1,1,6,1,1,1,Luxury
65,Haridwar,Uttarakhand,18.5603,87.5234,74517,Luxury,Monsoon,19,286,Tropical,86,92,4.2,5856,0,0,0,0,0,0,1,9,1,1,0,Culture
66,Alleppey,Kerala,28.1973,75.4086,13057,Mid-range,All-year,9,260,Temperate,65,94,3.7,26885,0,0,0,0,0,0,1,2,1,0,1,Luxury
67,Lonavala,Maharashtra,24.4141,84.14,40194,Luxury,Winter,29,281,Dry,29,31,4.4,14982,0,0,1,0,1,0,0,3,1,1,1,Culture
68,Kutch,Gujarat,22.8928,78.2023,12064,Mid-range,Monsoon,8,221,Cold,79,61,4.7,26258,0,0,0,0,0,0,1,7,1,0,1,Beach
69,Kanyakumari,Tamil Nadu,25.0127,91.4595,31085,Luxury,All-year,26,189,Tropical,20,26,4.6,7587,0,1,0,0,1,0,0,7,1,1,0,Wildlife
70,Mumbai,Maharashtra,12.0326,68.0436,58695,Luxury,Summer,20,326,Dry,34,54,3.9,3339,0,0,0,1,0,0,0,3,1,1,0,Culture
71,Kodaikanal,Tamil Nadu,12.3911,93.1992,5050,Budget,Summer,12,356,Tropical,32,34,4.1,2436,0,0,1,0,0,0,0,7,0,1,1,Beach
72,Lonavala,Maharashtra,8.2024,91.2276,66244,Luxury,Winter,27,203,Tropical,31,87,4.2,6875,0,0,1,0,0,0,0,4,1,1,1,Adventure
73,Rishikesh,Uttarakhand,24.4566,75.5453,33670,Luxury,All-year,34,27,Tropical,20,73,3.6,41575,1,0,0,0,1,0,0,7,0,1,1,Wildlife
74,Srinagar,Jammu and Kashmir,24.9807,71.0777,23296,Mid-range,Winter,6,83,Tropical,84,49,4.7,25412,1,0,0,0,0,0,1,8,1,0,1,Culture
75,Alleppey,Kerala,33.5585,82.173,74740,Luxury,Summer,30,393,Dry,39,75,4.3,35016,0,0,0,0,0,0,0,8,1,1,1,Family
76,Indore,Madhya Pradesh,32.7977,86.1202,7040,Budget,All-year,25,356,Dry,41,81,3.7,46702,0,0,0,0,0,0,0,4,0,0,1,Budget
77,Hampi,Karnataka,23.3281,85.0829,51404,Luxury,Summer,24,226,Cold,38,34,4.9,30452,1,0,0,0,0,1,0,11,1,0,1,Culture
78,Delhi,Delhi,32.9095,75.517,25528,Luxury,Monsoon,28,334,Cold,44,22,4.4,25074,0,0,0,1,1,1,0,7,0,1,1,Beach
79,Lonavala,Maharashtra,23.4144,93.8068,26708,Luxury,Winter,35,261,Dry,60,33,4.7,26381,0,0,1,0,0,0,0,2,0,0,1,Luxury
80,Kutch,Gujarat,32.2794,89.8202,45017,Luxury,All-year,5,399,Dry,90,58,4.3,3381,0,0,0,0,0,0,1,11,0,1,1,Nature
81,Pondicherry,Puducherry,17.563,92.1311,16408,Mid-range,Monsoon,7,324,Tropical,57,97,3.6,16541,0,1,0,0,1,0,0,7,0,1,1,Spiritual
82,Darjeeling,West Bengal,15.6434,73.5087,6775,Budget,Monsoon,7,37,Cold,41,81,3.7,1217,0,0,1,0,1,0,0,3,1,0,1,Nature
83,Manali,Himachal Pradesh,18.176,72.9002,22902,Mid-range,Winter,19,39,Dry,39,90,3.6,25763,1,0,1,0,0,0,0,2,1,0,1,Wildlife
84,Pondicherry,Puducherry,28.0632,92.4542,78955,Luxury,All-year,24,132,Cold,21,92,4.3,324,0,1,0,0,0,0,0,7,1,0,1,Luxury
85,Rishikesh,Uttarakhand,20.7876,95.0854,9645,Budget,Monsoon,15,28,Tropical,99,62,4.9,7548,1,0,0,0,1,0,1,9,1,1,1,Beach
86,Gangtok,Sikkim,23.3852,74.7187,67784,Luxury,Winter,35,178,Cold,73,95,3.9,24288,0,0,0,0,0,0,1,12,1,1,1,Budget
87,Guwahati,Assam,15.784,68.0697,21640,Mid-range,All-year,34,307,Temperate,40,100,4.2,48155,0,0,0,0,1,0,0,9,1,0,1,Nature
88,Bodh Gaya,Bihar,13.6505,80.7233,60293,Luxury,Winter,16,110,Temperate,55,65,4.4,28354,0,0,0,0,0,1,0,4,1,0,1,Family
89,Mysore,Karnataka,14.2623,95.0083,57499,Luxury,All-year,10,326,Temperate,91,35,3.9,42509,0,0,0,0,0,0,1,5,1,0,1,Spiritual
90,Kutch,Gujarat,16.445,88.0163,45576,Luxury,Winter,10,344,Temperate,56,32,4.9,14887,0,0,0,0,0,0,0,8,1,0,1,Luxury
91,Lonavala,Maharashtra,21.0347,92.37,26064,Luxury,Summer,34,97,Dry,69,69,4.6,3030,0,0,1,0,0,0,1,6,0,0,0,Wildlife
92,Hampi,Karnataka,28.9618,86.3759,43685,Luxury,Summer,11,143,Cold,93,99,4.1,38807,1,0,0,0,0,1,1,10,0,0,0,Family
93,Guwahati,Assam,31.863,85.606,56576,Luxury,Winter,15,191,Temperate,98,44,4.0,34310,0,0,0,0,0,0,1,8,1,1,0,Adventure
94,Lonavala,Maharashtra,20.9983,82.2863,50004,Luxury,Monsoon,17,116,Dry,87,28,4.1,23929,0,0,1,0,0,0,1,5,0,0,1,Family
95,Jaipur,Rajasthan,9.9521,79.404,69155,Luxury,All-year,27,399,Cold,22,39,4.4,13492,0,0,0,0,0,1,0,7,1,1,1,Nature
96,Mumbai,Maharashtra,29.1057,95.7549,57066,Luxury,All-year,32,204,Dry,77,33,4.4,9605,0,0,0,1,0,0,1,2,0,0,1,Beach
97,Puri,Odisha,26.138,93.1564,27539,Luxury,All-year,29,322,Dry,71,74,4.8,1925,0,0,0,0,1,0,1,6,1,0,0,Luxury
98,Hampi,Karnataka,32.1441,80.8235,38167,Luxury,Monsoon,18,369,Tropical,47,60,3.7,16755,1,0,0,0,0,1,0,3,1,1,1,Couple
99,Gangtok,Sikkim,28.9477,73.0415,14156,Mid-range,Monsoon,29,355,Temperate,24,45,5.0,45765,0,0,0,0,0,0,0,2,1,0,1,Adventure
100,Shimla,Himachal Pradesh,29.7873,96.4654,69870,Luxury,Winter,29,138,Cold,50,99,3.9,14826,0,0,0,0,0,0,0,6,1,1,0,Budget
101,Amritsar,Punjab,24.6505,82.1116,18614,Mid-range,Summer,14,250,Cold,22,61,3.6,13626,0,0,0,0,0,1,0,10,1,1,1,Family
102,Ranchi,Jharkhand,30.3529,74.2136,23339,Mid-range,Winter,15,267,Tropical,100,87,3.6,2123,0,0,0,0,0,0,1,3,1,0,1,Wildlife
103,Vizag,Andhra Pradesh,27.7389,80.164,27685,Luxury,Summer,26,329,Temperate,71,68,4.0,16619,0,1,0,0,0,0,1,4,1,1,0,Culture
104,Manali,Himachal Pradesh,24.6339,92.4803,19863,Mid-range,Summer,14,79,Dry,89,36,3.7,8518,1,0,1,0,0,0,1,8,1,0,0,Nature
105,Mysore,Karnataka,24.9318,72.9954,33310,Luxury,Winter,13,245,Tropical,92,66,4.8,40005,0,0,0,0,1,0,1,7,1,1,1,Adventure
106,Hyderabad,Telangana,14.3022,91.8051,41805,Luxury,Winter,35,297,Dry,30,50,3.7,29807,0,0,0,1,0,0,0,4,0,0,0,Culture
107,Alleppey,Kerala,30.2587,80.9565,79038,Luxury,Summer,16,37,Temperate,27,100,3.6,13505,0,0,0,0,0,0,0,6,0,1,1,Adventure
108,Ladakh,Ladakh,12.3244,90.161,66434,Luxury,Winter,16,251,Cold,45,71,4.3,39579,1,0,0,0,1,0,0,7,1,0,1,Couple
109,Ladakh,Ladakh,29.311,68.1701,37946,Luxury,Winter,34,294,Tropical,63,81,4.3,16571,1,0,0,0,0,0,1,11,1,0,1,Adventure
110,Lonavala,Maharashtra,24.8362,71.4717,15215,Mid-range,Summer,34,317,Cold,60,32,4.9,23106,0,0,1,0,1,0,0,9,1,1,1,Culture
111,Goa,Goa,30.5037,88.1461,18272,Mid-range,Winter,30,343,Dry,29,91,4.8,49203,0,1,0,1,0,0,0,3,1,1,0,Wildlife
112,Ladakh,Ladakh,11.591,81.3386,31476,Luxury,All-year,20,397,Cold,96,57,4.4,46955,1,0,0,0,0,0,1,7,1,0,0,Spiritual
113,Ooty,Tamil Nadu,20.596,73.1274,54996,Luxury,All-year,33,15,Temperate,64,57,4.6,29549,0,0,0,0,0,0,1,3,1,0,1,Adventure
114,Udaipur,Rajasthan,29.9663,94.6508,66081,Luxury,Monsoon,12,228,Temperate,80,41,4.0,10047,0,0,0,0,0,1,1,3,1,0,0,Wildlife
115,Kolkata,West Bengal,10.0394,84.4255,6978,Budget,Summer,33,335,Tropical,86,95,3.8,22417,0,0,0,1,0,1,1,10,1,1,0,Family
116,Coorg,Karnataka,30.3789,94.1131,11806,Budget,Monsoon,23,358,Dry,67,25,3.6,12892,1,0,1,0,0,0,1,5,0,0,1,Family
117,Kodaikanal,Tamil Nadu,15.6872,87.0212,53569,Luxury,Summer,22,319,Tropical,21,38,4.6,48946,0,0,1,0,0,0,0,10,1,1,1,Beach
118,Vizag,Andhra Pradesh,18.5664,94.6276,10735,Budget,All-year,12,240,Dry,84,69,4.7,43051,0,1,0,0,1,0,1,8,1,1,0,Spiritual
119,Manali,Himachal Pradesh,18.7759,87.341,52182,Luxury,Monsoon,34,13,Cold,63,33,3.8,10019,1,0,1,0,1,0,1,4,1,1,1,Luxury
120,Mysore,Karnataka,15.286,94.2323,42666,Luxury,Winter,24,87,Dry,93,38,3.7,17020,0,0,0,0,1,0,1,10,1,1,0,Wildlife
121,Bodh Gaya,Bihar,28.6363,83.577,78861,Luxury,All-year,34,154,Temperate,25,77,4.1,9895,0,0,0,0,0,1,0,10,1,0,1,Culture
122,Amritsar,Punjab,14.0712,92.4703,10003,Budget,Winter,20,110,Dry,88,44,4.4,2003,0,0,0,0,0,1,1,9,1,0,0,Adventure
123,Varanasi,Uttar Pradesh,23.0405,68.786,44727,Luxury,Winter,14,91,Cold,83,22,4.4,41047,0,0,0,0,0,1,1,4,1,0,1,Adventure
124,Alleppey,Kerala,31.0751,85.0357,18943,Mid-range,All-year,32,236,Tropical,89,98,4.3,25551,0,0,0,0,0,0,1,8,0,1,1,Culture
125,Jaipur,Rajasthan,15.6247,84.6313,13632,Mid-range,Summer,7,115,Dry,51,90,4.6,43143,0,0,0,0,0,1,0,10,1,0,1,Luxury
126,Pondicherry,Puducherry,30.0132,89.1988,68375,Luxury,Monsoon,34,74,Dry,22,80,4.4,27282,0,1,0,0,0,0,0,6,0,0,0,Budget
127,Pondicherry,Puducherry,26.1948,86.1634,48599,Luxury,Monsoon,9,84,Cold,70,56,4.0,15525,0,1,0,0,0,0,1,8,1,0,1,Family
128,Gangtok,Sikkim,19.6601,89.283,39204,Luxury,Summer,30,94,Cold,25,75,3.9,49832,0,0,0,0,1,0,0,11,1,0,1,Couple
129,Amritsar,Punjab,28.7298,94.7654,50813,Luxury,Summer,10,258,Cold,38,72,3.6,27287,0,0,0,0,0,1,0,5,0,1,1,Spiritual
130,Manali,Himachal Pradesh,23.8013,73.0238,77525,Luxury,Monsoon,16,95,Cold,89,63,4.8,37246,1,0,1,0,0,0,1,8,1,1,1,Budget
131,Alleppey,Kerala,23.7226,68.8567,21301,Mid-range,Winter,35,253,Dry,83,79,3.8,17669,0,0,0,0,0,0,1,10,1,0,0,Wildlife
132,Munnar,Kerala,25.4382,76.2577,32119,Luxury,All-year,7,16,Temperate,26,43,4.2,47068,0,0,1,0,1,0,0,3,1,0,1,Family
133,Hampi,Karnataka,20.8373,84.4239,18348,Mid-range,Winter,30,360,Dry,82,49,4.1,37321,1,0,0,0,0,1,1,7,0,1,0,Spiritual
134,Andaman,Andaman and Nicobar Islands,16.9888,78.7581,27145,Luxury,Summer,29,16,Tropical,70,31,4.0,49639,0,1,0,0,0,0,1,9,0,1,0,Culture
135,Pondicherry,Puducherry,24.5915,93.5091,40575,Luxury,All-year,26,77,Dry,32,93,3.9,23247,0,1,0,0,0,0,0,3,0,1,0,Adventure
136,Mumbai,Maharashtra,15.3097,73.8257,33438,Luxury,Monsoon,7,128,Dry,70,25,4.8,39522,0,0,0,1,0,0,1,10,1,1,0,Couple
137,Puri,Odisha,22.5589,93.3824,33962,Luxury,Summer,35,200,Cold,20,80,3.6,35958,0,0,0,0,1,0,0,2,1,0,0,Culture
138,Kutch,Gujarat,29.1432,73.5334,72745,Luxury,Winter,24,383,Temperate,68,46,4.1,2853,0,0,0,0,0,0,1,10,1,0,1,Culture
139,Mysore,Karnataka,29.1178,69.0725,5044,Budget,Winter,23,302,Cold,79,86,4.3,2956,0,0,0,0,0,0,1,3,1,1,1,Couple
140,Bodh Gaya,Bihar,24.8122,68.0786,62834,Luxury,Winter,8,249,Tropical,77,97,3.7,42377,0,0,0,0,0,1,1,9,1,1,0,Beach
141,Ooty,Tamil Nadu,28.9905,85.4488,6473,Budget,Monsoon,26,11,Temperate,83,85,4.4,36465,0,0,0,0,0,0,1,8,1,0,1,Budget
142,Mahabaleshwar,Maharashtra,9.779,76.915,65242,Luxury,Winter,6,204,Cold,62,77,4.2,5740,0,0,1,0,0,0,1,4,1,0,0,Spiritual
143,Shimla,Himachal Pradesh,20.9394,82.0297,9976,Budget,Monsoon,26,147,Tropical,56,40,4.4,38086,0,0,0,0,0,0,0,2,1,0,0,Culture
144,Gangtok,Sikkim,19.2612,92.493,73047,Luxury,Monsoon,33,343,Tropical,65,59,4.4,22488,0,0,0,0,0,0,1,6,1,0,0,Nature
145,Hampi,Karnataka,28.4122,69.5325,28879,Luxury,All-year,9,231,Dry,60,99,4.1,36003,1,0,0,0,0,1,0,4,0,1,1,Culture
146,Varanasi,Uttar Pradesh,8.3271,79.5168,35098,Luxury,All-year,30,397,Temperate,44,24,4.3,40742,0,0,0,0,0,1,0,8,1,1,0,Budget
147,Darjeeling,West Bengal,8.2625,73.1174,19099,Mid-range,All-year,9,355,Dry,34,86,4.5,6030,0,0,1,0,0,0,0,4,1,1,0,Couple
148,Delhi,Delhi,33.9972,94.0913,20013,Mid-range,Winter,14,188,Cold,67,44,3.7,5548,0,0,0,1,0,1,1,4,0,0,1,Beach
149,Andaman,Andaman and Nicobar Islands,22.9817,71.6958,63110,Luxury,All-year,32,380,Cold,37,45,4.7,16035,0,1,0,0,1,0,0,5,1,1,1,Beach
150,Puri,Odisha,8.2647,81.7711,71243,Luxury,Monsoon,31,162,Tropical,61,59,3.8,39404,0,0,0,0,0,0,1,2,1,1,0,Wildlife
151,Pondicherry,Puducherry,29.1598,92.8597,40029,Luxury,Monsoon,26,341,Tropical,21,54,4.2,6334,0,1,0,0,0,0,0,5,1,1,0,Culture
152,Shimla,Himachal Pradesh,8.7714,84.7573,14371,Mid-range,All-year,35,327,Tropical,94,81,4.3,49816,0,0,0,0,0,0,1,6,0,1,1,Couple
153,Srinagar,Jammu and Kashmir,16.7961,76.3991,16160,Mid-range,Summer,13,55,Cold,66,59,4.7,26086,1,0,0,0,0,0,1,10,0,1,1,Budget
154,Lonavala,Maharashtra,23.9989,79.0616,43420,Luxury,All-year,30,26,Tropical,46,43,4.3,45275,0,0,1,0,1,0,0,4,0,0,1,Budget
155,Indore,Madhya Pradesh,29.0895,91.1775,64789,Luxury,All-year,15,220,Temperate,70,42,4.1,5137,0,0,0,0,1,0,1,6,0,1,1,Budget
156,Amritsar,Punjab,30.5864,86.8107,74577,Luxury,All-year,18,226,Temperate,72,68,4.8,45486,0,0,0,0,0,1,1,2,0,0,1,Spiritual
157,Haridwar,Uttarakhand,20.5885,75.9689,34622,Luxury,Monsoon,19,55,Cold,88,79,4.1,32684,0,0,0,0,0,0,1,12,0,0,1,Family
158,Munnar,Kerala,12.4947,96.9569,56668,Luxury,Summer,13,63,Dry,81,26,4.0,37761,0,0,1,0,0,0,1,10,1,0,1,Spiritual
159,Coorg,Karnataka,14.4303,93.8763,51351,Luxury,Summer,34,319,Dry,65,73,4.7,45747,1,0,1,0,1,0,1,3,0,1,1,Nature
160,Lonavala,Maharashtra,21.6509,82.2856,10573,Budget,Summer,35,382,Dry,87,26,4.9,10641,0,0,1,0,1,0,1,8,1,1,0,Budget
161,Varanasi,Uttar Pradesh,16.4492,86.6478,75478,Luxury,All-year,30,90,Tropical,43,97,3.7,47135,0,0,0,0,0,1,0,7,1,1,1,Nature
162,Guwahati,Assam,17.6528,84.9513,52827,Luxury,Monsoon,20,163,Temperate,78,39,3.7,19898,0,0,0,0,0,0,1,10,0,0,1,Culture
163,Kolkata,West Bengal,8.9907,85.0676,34925,Luxury,Winter,21,366,Cold,78,54,4.1,161,0,0,0,1,1,1,1,3,0,1,1,Budget
164,Kutch,Gujarat,23.6734,88.4605,73922,Luxury,Monsoon,26,198,Dry,47,97,4.9,17281,0,0,0,0,0,0,0,6,1,1,0,Family
165,Jaipur,Rajasthan,27.2965,77.9993,4318,Budget,All-year,27,353,Cold,79,72,4.3,5438,0,0,0,0,0,1,1,4,1,1,1,Family
